Designator,Mid X,Mid Y,Layer,Rotation
R60,188.9mm,-69.6mm,top,90.0
L60,195.9mm,-69.6mm,top,0.0
D60,195.3mm,-78.2mm,top,180.0
C60,188.7mm,-78.2mm,top,90.0
R160,192.65mm,-69.55mm,top,90.0
U61,60.7mm,-88.0mm,top,0.0
R61,56.9mm,-83.6mm,top,90.0
L61,63.9mm,-83.6mm,top,0.0
D61,63.3mm,-92.2mm,top,180.0
C61,56.7mm,-92.2mm,top,90.0
R161,60.65mm,-83.55mm,top,90.0
U62,72.7mm,-88.0mm,top,0.0
R62,68.9mm,-83.6mm,top,90.0
L62,75.9mm,-83.6mm,top,0.0
D62,75.3mm,-92.2mm,top,180.0
C62,68.7mm,-92.2mm,top,90.0
R162,72.65mm,-83.55mm,top,90.0
U63,84.7mm,-88.0mm,top,0.0
R63,80.9mm,-83.6mm,top,90.0
L63,87.9mm,-83.6mm,top,0.0
D63,87.3mm,-92.2mm,top,180.0
C63,80.7mm,-92.2mm,top,90.0
R163,84.65mm,-83.55mm,top,90.0
U64,96.7mm,-88.0mm,top,0.0
R64,92.9mm,-83.6mm,top,90.0
L64,99.9mm,-83.6mm,top,0.0
D64,99.3mm,-92.2mm,top,180.0
C64,92.7mm,-92.2mm,top,90.0
R164,96.65mm,-83.55mm,top,90.0
U65,108.7mm,-88.0mm,top,0.0
R65,104.9mm,-83.6mm,top,90.0
L65,111.9mm,-83.6mm,top,0.0
D65,111.3mm,-92.2mm,top,180.0
C65,104.7mm,-92.2mm,top,90.0
R165,108.65mm,-83.55mm,top,90.0
U66,120.7mm,-88.0mm,top,0.0
R66,116.9mm,-83.6mm,top,90.0
L66,123.9mm,-83.6mm,top,0.0
D66,123.3mm,-92.2mm,top,180.0
C66,116.7mm,-92.2mm,top,90.0
R166,120.65mm,-83.55mm,top,90.0
U67,132.7mm,-88.0mm,top,0.0
R67,128.9mm,-83.6mm,top,90.0
L67,135.9mm,-83.6mm,top,0.0
D67,135.3mm,-92.2mm,top,180.0
C67,128.7mm,-92.2mm,top,90.0
R167,132.65mm,-83.55mm,top,90.0
U68,144.7mm,-88.0mm,top,0.0
R68,140.9mm,-83.6mm,top,90.0
L68,147.9mm,-83.6mm,top,0.0
D68,147.3mm,-92.2mm,top,180.0
C68,140.7mm,-92.2mm,top,90.0
R168,144.65mm,-83.55mm,top,90.0
U69,156.7mm,-88.0mm,top,0.0
R69,152.9mm,-83.6mm,top,90.0
L69,159.9mm,-83.6mm,top,0.0
D69,159.3mm,-92.2mm,top,180.0
C69,152.7mm,-92.2mm,top,90.0
